D’a del partido,Tiros de esquina,Tiros totales,Goles totales,,,,
11-jun,6,19,2,,,,
11-jun,9,22,3,,,,
12-jun,13,21,2,,,,
12-jun,4,25,5,,,,
13-jun,13,32,2,,,,
13-jun,8,26,2,,,,
13-jun,7,24,1,,,,
13-jun,13,39,2,,,,
14-jun,9,34,8,,,,
14-jun,8,27,1,,,,
14-jun,9,20,4,,,,
14-jun,6,19,6,,,,
15-jun,12,33,0,,,,
15-jun,18,34,2,,,,
15-jun,9,29,2,,,,
15-jun,5,31,4,,,,
16-jun,10,17,4,,,,
16-jun,7,23,5,,,,
16-jun,4,17,3,,,,
16-jun,7,22,4,,,,
17-jun,9,15,2,,,,
17-jun,7,23,4,,,,
17-jun,10,32,6,,,,
17-jun,4,19,1,,,,
18-jun,2,17,1,,,,
18-jun,10,31,2,,,,
18-jun,10,18,5,,,,
18-jun,20,34,6,,,,
19-jun,11,15,2,,,,
19-jun,12,39,1,,,,
19-jun,7,18,1,,,,
19-jun,8,15,3,,,,
20-jun,7,26,6,,,,
20-jun,8,13,4,,,,
20-jun,11,25,3,,,,
20-jun,9,37,0,,,,
21-jun,7,25,4,,,,
21-jun,15,29,4,,,,
21-jun,6,30,0,,,,
21-jun,7,30,4,,,,
22-jun,4,18,2,,,,
22-jun,11,25,3,,,,
22-jun,6,23,3,,,,
22-jun,9,29,5,,,,
23-jun,5,24,5,,,,
23-jun,9,27,1,,,,
23-jun,11,21,0,,,,
23-jun,9,14,1,,,,
24-jun,6,24,3,,,,
24-jun,9,19,3,,,,
24-jun,10,23,4,,,,
24-jun,13,35,3,,,,
24-jun,10,31,6,,,,
24-jun,10,21,1,,,,
25-jun,5,18,3,,,,
25-jun,10,18,2,,,,
25-jun,10,30,4,,,,
25-jun,10,19,2,,,,
25-jun,4,19,0,,,,
25-jun,11,27,5,,,,
26-jun,9,28,5,,,,
26-jun,15,34,5,,,,
26-jun,7,11,1,,,,
26-jun,6,22,0,,,,
26-jun,10,28,2,,,,
26-jun,13,41,6,,,,
27-jun,10,30,2,,,,
27-jun,5,14,3,,,,
27-jun,7,37,0,,,,
27-jun,6,22,4,,,,
27-jun,8,17,4,,,,
27-jun,3,22,6,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
