Timestamp,¿Estudias y trabajas al mismo tiempo?,¿Cuantas horas trabajas?,¿En que horario estudas?,¿Cual fue tu calificacion del semestre pasado en estadistica inferencial 1 (con el profe Omar) ?
7/16/2026 18:14:06,No,No trabajo,Turno matutino,85
7/16/2026 18:14:35,No,No trabajo,Turno matutino,95
7/16/2026 18:23:45,Si,Medio tiempo,Turno matutino,90
7/16/2026 23:46:17,Si,Trabajo completo,Turno matutino,70
7/17/2026 0:21:15,Si,Medio tiempo,Turno matutino,85
7/17/2026 9:14:54,Si,Medio tiempo,Turno matutino,85
7/17/2026 16:14:23,Si,Medio tiempo,Turno matutino,85
7/17/2026 18:38:59,Si,Medio tiempo,Turno vespertino,80
7/17/2026 18:42:49,Si,Trabajo completo,Turno vespertino,95
7/17/2026 18:43:16,No,No trabajo,Turno vespertino,80
7/17/2026 18:43:26,No,No trabajo,Turno vespertino,75
7/17/2026 18:43:50,No,No trabajo,Turno vespertino,90
7/17/2026 18:44:05,Si,Medio tiempo,Turno matutino,95
7/17/2026 18:44:31,Si,Trabajo completo,Turno vespertino,100
7/17/2026 18:45:02,Si,Trabajo completo,Turno mixto,75
7/17/2026 18:45:24,No,No trabajo,Turno matutino,90
7/17/2026 18:45:42,Si,Trabajo completo,Turno matutino,75
7/17/2026 18:45:53,Si,Trabajo completo,Turno vespertino,90
7/17/2026 18:46:40,Si,No trabajo,Turno mixto,95
7/17/2026 18:47:28,Si,Trabajo completo,Turno mixto,75
7/17/2026 18:47:48,Si,Medio tiempo,Turno mixto,95
