Timestamp,Brillo,Uso,Carga,Duracion
7/28/2026 11:11:25,50% Baja,4-5 horas,3,3 a 6 horas
7/28/2026 11:13:04,50% Baja,4-5 horas,2,3 a 6 horas
7/28/2026 11:20:34,25% Muy baja,4-5 horas,1,6 a 9 horas
7/28/2026 11:33:11,25% Muy baja,4-5 horas,2,Mas de 10 horas
7/28/2026 11:48:37,75 %  Poco alta,4-5 horas,1,Mas de 10 horas
7/28/2026 11:53:21,100% Muy alta,6-7 horas,2,3 a 6 horas
7/28/2026 12:32:34,75 %  Poco alta,6-7 horas,2,6 a 9 horas
7/28/2026 12:33:47,75 %  Poco alta,4-5 horas,1,Mas de 10 horas
7/28/2026 12:34:52,50% Baja,1-2 horas,1,3 a 6 horas
7/28/2026 12:35:27,50% Baja,1-2 horas,1,6 a 9 horas
7/28/2026 12:37:25,25% Muy baja,4-5 horas,1,3 a 6 horas
7/28/2026 12:41:05,75 %  Poco alta,4-5 horas,2,6 a 9 horas
7/28/2026 12:41:56,75 %  Poco alta,4-5 horas,2,6 a 9 horas
7/28/2026 13:00:01,50% Baja,4-5 horas,2,Mas de 10 horas
7/28/2026 13:01:35,50% Baja,8-9 horas,2,6 a 9 horas
7/28/2026 13:05:32,25% Muy baja,2-3 horas,1,Mas de 10 horas
7/28/2026 13:21:07,50% Baja,6-7 horas,1,6 a 9 horas
7/28/2026 13:26:50,25% Muy baja,8-9 horas,1,3 a 6 horas
7/28/2026 13:43:35,50% Baja,4-5 horas,1,6 a 9 horas
7/28/2026 13:50:44,25% Muy baja,6-7 horas,1,Mas de 10 horas
7/28/2026 14:27:21,50% Baja,6-7 horas,1,Mas de 10 horas
7/28/2026 17:43:05,75 %  Poco alta,6-7 horas,2,3 a 6 horas
7/28/2026 17:45:12,75 %  Poco alta,4-5 horas,2,3 a 6 horas
7/28/2026 21:55:52,25% Muy baja,4-5 horas,2,6 a 9 horas
