Timestamp,Brillo,Column 3,Carga,Duracion
7/28/2026 11:11:25,50,,3,6
7/28/2026 11:13:04,50,,2,6
7/28/2026 11:20:34,25,,1,9
7/28/2026 11:33:11,25,,2,12
7/28/2026 11:48:37,75,,1,12
7/28/2026 11:53:21,100,,2,6
7/28/2026 12:32:34,75,,2,9
7/28/2026 12:33:47,75,,1,12
7/28/2026 12:34:52,50,,1,6
7/28/2026 12:35:27,50,,1,9
7/28/2026 12:37:25,25,,1,6
7/28/2026 12:41:05,75,,2,9
7/28/2026 12:41:56,75,,2,9
7/28/2026 13:00:01,50,,2,12
7/28/2026 13:01:35,50,,2,9
7/28/2026 13:05:32,25,,1,12
7/28/2026 13:21:07,50,,1,9
7/28/2026 13:26:50,25,,1,6
7/28/2026 13:43:35,50,,1,9
7/28/2026 13:50:44,25,,1,12
7/28/2026 14:27:21,50,,1,12
7/28/2026 17:43:05,75,,2,6
7/28/2026 17:45:12,75,,2,6
7/28/2026 21:55:52,25,,2,9
